Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Shares Short (prior month
0,0,VFC,0,0,0,0,35540000000.0,37560000000.0,20.82,21.14,1.72,2.63,8.26,2.78,19.12,12.86,12.48,,,13510000000.0,34.16,8.0,6170000000.0,1960000000.0,1670000000.0,4.32,,535309999.99999994,1.35,2820000000.0,65.54,1.8,10.88,-1220000000.0,,1.5,86.05,82.72,2089999.9999999998,395600000.0,392990000.0,0.67,86.16,4960000.0,3.27,,5480000.0
0,0,PRGO,0,0,0,0,7010000000.0,9540000000.0,54.29,11.14,6.61,1.48,1.24,2.02,10.69,2.77,9.91,2.59,2.21,4730000000.0,34.34,-6.9,1830000000.0,892500000.0,131000000.0,0.95,11.2,560500000.0,4.12,3240000000.0,57.2,1.89,41.71,593000000.0,317350000.0,2.0,48.19,55.96,1350000.0,135870000.0,122060000.0,0.48,87.16,7090000.0,4.78,7.49,8460000.0
0,0,SWN,0,0,0,0,2570000000.0,4650000000.0,5.13,6.72,-0.67,0.67,1.1,1.21,3.23,13.9,22.76,8.25,24.74,3860000000.0,6.72,45.2,1850000000.0,1440000000.0,535000000.0,0.93,-8.1,202000000.0,0.38,2320000000.0,98.14,1.13,4.34,1220000000.0,-322880000.0,1.25,4.4679,4.6677,16440000.000000002,538600000.0,535520000.0,0.56,102.8,100480000.0,6.25,18.89,87990000.0
0,0,VTR,0,0,0,0,22420000000.0,33439999999.999996,54.57,47.13,7.15,6.06,2.17,9.03,18.4,11.06,25.36,2.52,3.86,3700000000.0,10.39,3.8,1970000000.0,1820000000.0,409480000.0,1.14,-84.1,72280000.0,0.2,10730000000.0,102.62,0.56,28.65,1380000000.0,1080000000.0,0.38,63.2,60.48,2140000.0,357350000.0,355430000.0,0.37,92.33,4470000.0,2.36,1.68,5400000.0
0,0,CAM,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,SCHW,0,0,0,0,59750000000.0,28200000000.0,18.28,14.49,0.76,5.9,3.34,2.78,,34.61,45.03,1.3,17.9,10130000000.0,7.52,19.0,9890000000.0,,3330000000.0,2.45,56.6,42040000000.0,31.54,8060000000.000001,39.0,0.32,13.42,12460000000.0,,1.05,44.73,45.48,6580000.0,1330000000.0,1190000000.0,11.25,81.14,13650000.0,2.33,1.14,15580000.0
0,0,LYB,0,0,0,0,33900000000.0,42130000000.0,7.6,7.79,1.29,0.87,3.35,1.08,6.47,12.02,13.65,12.21,48.57,39000000000.0,100.27,-2.8,,6510000000.0,4690000000.0,12.02,-63.5,1260000000.0,3.39,9450000000.0,90.88,1.92,27.3,5470000000.0,1730000000.0,1.22,87.08,89.83,2600000.0,371160000.0,293980000.0,20.81,74.81,6220000.0,2.43,1.93,5630000.0
0,0,MSFT,0,0,0,0,920130000000.0,877630000000.0,27.82,24.03,1.92,7.77,10.0,7.41,17.7,28.31,32.83,9.44,39.35,118460000000.0,15.41,12.3,72010000000.0,49580000000.0,33540000000.0,4.31,,127670000000.0,16.64,85480000000.0,92.79,3.12,11.99,46130000000.0,27780000000.0,1.01,114.52,108.77,27850000.0,7670000000.0,7570000000.0,1.41,74.65,44890000.0,1.7,0.59,39270000.0
0,0,AMGN,0,0,0,0,121270000000.0,126220000000.0,15.44,13.04,6.83,5.11,9.82,5.32,10.1,35.35,44.43,9.01,44.48,23750000000.0,35.93,7.4,19650000000.0,12500000000.0,8390000000.000001,12.62,,29300000000.0,47.09,33930000000.0,271.43,2.79,19.85,11300000000.0,7930000000.0,0.97,188.45,193.82,3010000.0,622280000.0,621320000.0,0.21,81.06,10700000.0,3.52,1.6,10570000.0
0,0,RL,0,0,0,0,10020000000.0,8900000000.0,23.82,16.83,1.54,1.58,2.99,1.4,9.04,6.95,11.22,7.23,13.03,6340000000.0,77.99,5.1,3760000000.0,984400000.0,440600000.0,5.35,,2060000000.0,26.24,934600000.0,27.87,2.9,42.67,707100000.0,362760000.0,0.94,125.0,119.64,52740000.0,52740000.0,52030000.0,0.61,102.14,4160000.0,4.63,9.92,4960000.0
0,0,TWX,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,NLY,0,0,0,0,14560000000.0,105020000000.0,,8.27,-8.17,32.88,1.07,237.13,,12.29,36.2,0.05,0.37,442860000.0,0.37,,442860000.0,,-74900000.0,-0.06,,1000000000.0,0.72,90050000000.0,637.83,0.14,9.39,2620000000.0,,0.07,10.16,10.1,16559999.999999998,1440000000.0,1400000000.0,0.28,55.68,53340000.0,4.11,4.61,56430000.0
0,0,WTW,0,0,0,0,1430000000.0,2920000000.0,6.71,12.53,0.43,0.95,,1.93,6.75,14.78,25.69,18.28,,1510000000.0,22.84,5.7,866410000.0,433050000.0,223750000.0,3.19,-30.5,240500000.0,3.59,1750000000.0,,1.07,-12.08,295590000.0,190770000.0,0.9,21.81,42.44,4190000.0000000005,66959999.99999999,46100000.0,9.02,90.77,10140000.0,1.27,,10180000.0
0,0,CB,0,0,0,0,62850000000.0,75170000000.0,16.16,11.9,1.21,1.92,1.25,2.3,14.51,12.12,14.82,1.81,7.81,32680000000.0,70.49,-5.4,8109999999.999999,5180000000.0,3960000000.0,8.49,-76.8,4260000000.0,9.3,16360000000.0,32.52,0.38,109.56,5480000000.0,2570000000.0,0.71,135.67,131.61,1620000.0,458230000.0,454980000.0,0.62,90.53,8270000.0,5.91,1.79,7140000.0
0,0,BSX,0,0,0,0,53050000000.0,59840000000.0,32.06,21.19,2.01,5.4,6.05,6.09,22.86,17.01,17.55,5.38,21.24,9820000000.0,7.11,6.4,7030000000.0,2620000000.0,1670000000.0,1.19,,146000000.0,0.1,7100000000.0,81.37,0.76,6.3,310000000.0,532880000.0,0.82,39.2,37.32,7230000.0,1390000000.0,1380000000.0,0.25,93.38,8390000.0,1.3,0.69,8940000.0
0,0,FE,0,0,0,0,21480000000.0,40930000000.0,20.31,16.23,-2.44,1.91,3.07,3.63,10.44,11.97,21.19,3.62,19.03,11260000000.0,22.89,1.0,7760000000.0,3920000000.0,655000000.0,1.99,,367000000.0,0.69,19500000000.0,286.23,0.52,13.17,1410000000.0,-219380000.0,0.28,40.95,38.74,5040000.0,531409999.99999994,498970000.0,4.24,0.0,29260000.0,5.68,8.51,26160000.0
0,0,BXP,0,0,0,0,23640000000.0,34380000000.0,37.3,40.59,6.42,8.73,3.75,12.7,21.88,21.53,34.18,2.92,8.73,2710000000.0,17.53,6.0,1690000000.0,1570000000.0,572350000.0,3.7,41.9,543360000.0,3.52,11010000000.0,134.01,3.47,36.79,1150000000.0,809140000.0,1.08,133.73,125.09,154510000.0,154510000.0,154240000.0,0.15,99.76,2190000.0,2.93,,2360000.0
0,0,UNP,0,0,0,0,121940000000.0,143020000000.0,21.33,16.41,1.12,5.34,5.99,6.26,13.31,26.13,37.47,9.14,26.35,22830000000.0,30.41,5.6,11760000000.0,10750000000.0,5970000000.0,7.91,-78.6,1330000000.0,1.84,22390000000.0,109.64,0.9,28.17,8690000000.0,3490000000.0,1.27,166.63,155.41,4230000.0,722880000.0,721710000.0,0.33,81.35,12010000.0,3.21,,7910000.0
0,0,KMI,0,0,0,0,45140000000.0,81050000000.0,29.98,18.64,1.64,3.19,1.34,5.73,12.91,11.38,27.58,3.09,5.46,14140000000.0,6.38,4.1,7200000000.0,6280000000.0,1470000000.0,0.67,,3290000000.0,1.45,37440000000.0,106.37,0.76,14.89,5040000000.0,1500000000.0,1.03,19.79,17.85,16140000.0,2260000000.0,1940000000.0,13.44,64.78,45420000.0,3.24,,46610000.0
